locality_id,year,pland_08,pland_09,pland_13,pland_02,pland_04,pland_00,pland_11,pland_05,pland_10,pland_01,pland_12,pland_14,pland_15,pland_03,pland_06
L1033181,2014,0.8333333333333334,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0
L1033181,2015,0.7222222222222222,0.2777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0
L1033181,2017,0.6111111111111112,0.3888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0
L1035233,2019,0.10526315789473684,0.10526315789473684,0,0,0,0.5263157894736842,0.10526315789473684,0.15789473684210525,0,0,0,0,0,0,0
L1035242,2018,0.5238095238095238,0.2857142857142857,0,0,0,0,0,0,0.19047619047619047,0,0,0,0,0,0
L1035747,2011,0.631578947368421,0.2631578947368421,0,0,0.10526315789473684,0,0,0,0,0,0,0,0,0,0
L1035747,2014,0.6842105263157895,0.15789473684210525,0,0,0.10526315789473684,0,0,0.05263157894736842,0,0,0,0,0,0,0
L1035747,2015,0.6842105263157895,0.15789473684210525,0,0,0.10526315789473684,0,0,0.05263157894736842,0,0,0,0,0,0,0
L1035747,2016,0.6842105263157895,0.15789473684210525,0,0,0.10526315789473684,0,0,0.05263157894736842,0,0,0,0,0,0,0
L1035747,2017,0.631578947368421,0.15789473684210525,0,0,0.15789473684210525,0,0,0.05263157894736842,0,0,0,0,0,0,0
L1035747,2018,0.631578947368421,0.15789473684210525,0,0,0.15789473684210525,0,0,0.05263157894736842,0,0,0,0,0,0,0
L1035747,2019,0.631578947368421,0.15789473684210525,0,0,0.15789473684210525,0,0,0.05263157894736842,0,0,0,0,0,0,0
L1035778,2013,0,0,0.1111111111111111,0,0,0.3333333333333333,0.5555555555555556,0,0,0,0,0,0,0,0
L1036217,2015,0.8333333333333334,0.05555555555555555,0,0,0.05555555555555555,0,0,0,0.05555555555555555,0,0,0,0,0,0
L1037219,2018,0.9047619047619048,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0
L1037399,2015,0.21052631578947367,0.15789473684210525,0.10526315789473684,0,0.21052631578947367,0,0,0,0.2631578947368421,0,0,0.05263157894736842,0,0,0
L1037399,2016,0.21052631578947367,0.15789473684210525,0.10526315789473684,0,0.21052631578947367,0,0,0,0.2631578947368421,0,0,0.05263157894736842,0,0,0
L1037399,2017,0.3157894736842105,0.10526315789473684,0.10526315789473684,0,0.21052631578947367,0,0,0,0.21052631578947367,0,0,0.05263157894736842,0,0,0
L1037399,2018,0.3684210526315789,0.05263157894736842,0.10526315789473684,0,0.15789473684210525,0,0,0,0.21052631578947367,0,0.05263157894736842,0.05263157894736842,0,0,0
L1037399,2019,0.3684210526315789,0.05263157894736842,0.10526315789473684,0,0.15789473684210525,0,0,0,0.21052631578947367,0,0.05263157894736842,0.05263157894736842,0,0,0
L1038571,2017,0.05263157894736842,0,0,0,0.3684210526315789,0,0,0,0.10526315789473684,0,0.3157894736842105,0.15789473684210525,0,0,0
L1038691,2014,0,0.05263157894736842,0.15789473684210525,0,0,0.6842105263157895,0.10526315789473684,0,0,0,0,0,0,0,0
L1038691,2015,0,0.05263157894736842,0.15789473684210525,0,0,0.6842105263157895,0.10526315789473684,0,0,0,0,0,0,0,0
L1040069,2012,0.8571428571428571,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0
L1040069,2013,0.8571428571428571,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0
L1040069,2015,0.8571428571428571,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0
L1040248,2011,0.9473684210526315,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0
